,dates,company A,company B,Ratio,change,gain,loss,avg_gain,avg_loss,rs,rsi
0,09-Mar-20,105.7,623.55,0.1695132707882287,-0.0041353264899587905,0.0,0.0041353264899587905,0.001181361249870419,0.004055859987974708,0.2912726902242824,22.557023967856935
1,06-Mar-20,114.2,657.65,0.1736485972781875,-0.011850738907090569,0.0,0.011850738907090569,0.0012722351921681436,0.0034562539172734883,0.36809656426277937,26.905744366161315
2,05-Mar-20,125.75,677.9,0.18549933618527806,0.0005095971058292348,0.0005095971058292348,0.0,0.0013308996603480596,0.0037221196032176025,0.3575649904418863,26.338701495646205
3,04-Mar-20,126.2,682.2,0.18498973907944882,-0.00470683372124972,0.0,0.00470683372124972,0.0014332765572979103,0.003646372363368978,0.3930691697031372,28.216055473175118
4,03-Mar-20,130.35,687.15,0.18969657280069854,0.0064168300354252306,0.0064168300354252306,0.0,0.001049926289749655,0.003926862545166591,0.26737026765603616,21.096460480371647
5,02-Mar-20,125.4,684.2,0.1832797427652733,-0.0016478350348127224,0.0,0.0016478350348127224,0.0011306898504996282,0.00410217235365535,0.2756319708244577,21.60748375147051
6,28-Feb-20,128.95,697.3,0.18492757780008603,-0.012463194775846564,0.0,0.012463194775846564,0.0012176659928457535,0.0034590167827175645,0.35202662182202493,26.036959342385217
7,27-Feb-20,145.25,735.85,0.1973907725759326,-0.0007858109173495831,0.0,0.0007858109173495831,0.0013113326076800423,0.0036646480031304863,0.3578331688500097,26.353249946977627
8,26-Feb-20,144.55,729.4,0.19817658349328218,-0.007518099182532573,0.0,0.007518099182532573,0.0014122043467323534,0.003368228681638018,0.41927211012453525,29.541347789025863
9,25-Feb-20,149.9,728.75,0.20569468267581476,-0.001969525746543771,0.0,0.001969525746543771,0.0015208354503271498,0.0034758212151068065,0.4375470877838051,30.43706126234443
10,24-Feb-20,150.65,725.45,0.20766420842235853,-0.0052875583383562574,0.0,0.0052875583383562574,0.0016378227926600074,0.0033364568210106946,0.4908868540860873,32.92582886090311
